distance,width,movement time,id,thoroughput,user
300,10,1.32811594,4.95419631,3.730243845,1
300,10,1.163788795,4.95419631,4.256954811,1
300,10,1.183628082,4.95419631,4.185602205,1
300,10,1.461636782,4.95419631,3.389485248,1
300,10,1.303476095,4.95419631,3.80075732,1
300,10,1.308992863,4.95419631,3.784738978,1
300,10,1.140883923,4.95419631,4.342419251,1
300,10,1.42349124,4.95419631,3.480313873,1
110,10,0.886292934,3.584962501,4.044895726,1
110,10,0.971585989,3.584962501,3.689804651,1
110,10,1.47414875,3.584962501,2.431886539,1
110,10,0.938588858,3.584962501,3.819523821,1
110,10,1.188055754,3.584962501,3.017503588,1
110,10,0.971730947,3.584962501,3.689254224,1
110,10,1.05922389,3.584962501,3.384518169,1
110,10,1.011737108,3.584962501,3.543373543,1
200,10,1.090512991,4.392317423,4.027753414,1
200,10,0.973611593,4.392317423,4.511365163,1
200,10,1.068636179,4.392317423,4.110208422,1
200,10,1.131783962,4.392317423,3.880879718,1
200,10,1.116026878,4.392317423,3.935673513,1
200,10,1.097517967,4.392317423,4.00204603,1
200,10,1.173931837,4.392317423,3.741543831,1
200,10,1.203676939,4.392317423,3.649083305,1
110,20,0.807212114,2.700439718,3.345390476,1
110,20,0.890694857,2.700439718,3.031834861,1
110,20,0.811934948,2.700439718,3.325931129,1
110,20,0.97995019,2.700439718,2.755690795,1
110,20,0.804665089,2.700439718,3.355979717,1
110,20,0.924127102,2.700439718,2.922151847,1
110,20,0.806210041,2.700439718,3.349548605,1
110,20,0.972080231,2.700439718,2.77800086,1
300,20,1.196114063,4,3.344162671,1
300,20,1.029921055,4,3.883792821,1
300,20,1.088382006,4,3.675180201,1
300,20,1.083880901,4,3.690442369,1
300,20,1.075827837,4,3.71806702,1
300,20,1.274236202,4,3.139135424,1
300,20,1.057691813,4,3.781819951,1
300,20,1.021423101,4,3.916104889,1
200,20,1.118579149,3.459431619,3.092701685,1
200,20,0.910902739,3.459431619,3.797805705,1
200,20,1.052360058,3.459431619,3.287307982,1
200,20,0.908046007,3.459431619,3.809753682,1
200,20,1.084948301,3.459431619,3.18856817,1
200,20,0.853615046,3.459431619,4.052683508,1
200,20,0.933867931,3.459431619,3.704412052,1
200,20,0.966722012,3.459431619,3.578517481,1
110,10,0.711399078,3.584962501,5.039312827,2
110,10,0.648121119,3.584962501,5.531315673,2
110,10,0.79964304,3.584962501,4.483203533,2
110,10,0.672200203,3.584962501,5.33317676,2
110,10,0.559649229,3.584962501,6.405731152,2
110,10,0.672645092,3.584962501,5.329649385,2
110,10,0.760187149,3.584962501,4.715894639,2
110,10,0.775846958,3.584962501,4.620708328,2
200,20,0.863462925,3.459431619,4.006462257,2
200,20,0.87941885,3.459431619,3.933770147,2
200,20,0.919305325,3.459431619,3.763093204,2
200,20,0.808096886,3.459431619,4.280961454,2
200,20,0.672056913,3.459431619,5.147527762,2
200,20,0.560014009,3.459431619,6.177401923,2
200,20,0.83972311,3.459431619,4.119728964,2
200,20,0.607971191,3.459431619,5.690124249,2
300,20,0.976539135,4,4.096098002,2
300,20,0.880946159,4,4.540572608,2
300,20,0.816641092,4,4.898112571,2
300,20,0.656110764,4,6.096531595,2
300,20,0.784370899,4,5.099628255,2
300,20,0.822947741,4,4.860575955,2
300,20,0.712410927,4,5.614737014,2
300,20,0.824143171,4,4.853525624,2
300,10,1.255881071,4.95419631,3.944797341,2
300,10,0.911805153,4.95419631,5.433393631,2
300,10,0.89693284,4.95419631,5.523486361,2
300,10,0.824119091,4.95419631,6.011505332,2
300,10,0.951939106,4.95419631,5.204320611,2
300,10,0.824737072,4.95419631,6.007000871,2
300,10,1.032077074,4.95419631,4.800219319,2
300,10,1.040366888,4.95419631,4.761970385,2
110,20,0.64754796,2.700439718,4.170254381,2
110,20,0.688196182,2.700439718,3.923938824,2
110,20,0.504480124,2.700439718,5.352915986,2
110,20,0.575959921,2.700439718,4.68858964,2
110,20,0.519625902,2.700439718,5.196892046,2
110,20,0.49530673,2.700439718,5.452055369,2
110,20,0.567897081,2.700439718,4.755156888,2
110,20,0.552114964,2.700439718,4.891082286,2
200,10,0.912170172,4.392317423,4.815239041,2
200,10,0.751900911,4.392317423,5.841617368,2
200,10,0.864737988,4.392317423,5.079362173,2
200,10,0.728387117,4.392317423,6.030196469,2
200,10,0.927299023,4.392317423,4.736678585,2
200,10,0.879991055,4.392317423,4.991320537,2
200,10,1.104799032,4.392317423,3.975670955,2
200,10,1.559321165,4.392317423,2.81681383,2
